Gender,Age,Academic Stream,Educational Qualification ,Marital Status,Locality,Occupation,Annual Income,"Have you ever experienced any mental health issue?(even if you faced for a short period, tick yes)","In your life, which element has affected your mental health?", [Feeling sad most of the time], [Experienced low self-esteem], [You are willing to do the activities you usually enjoy], [Significant difficulty to fall asleep], [Problems with your work or daily life due to your physical health], [Feeling of giving up], [Relations with others affect your mental health], [Feeling anxious or discomfort around others], [Social media affect your mental health], [Your eating habits were altered in any way],How much time do you spend on social media?,Do you consume any sort of alcohol or smoke?,Tick the major life event which has affected your mental health.,Which of the following mental health disorders do you have or have experienced in the past?,What measures did you take to improve your mental health?,Felt improvement in your mental health after the measures you took.,"Do you have any counsellors in your school, college or surrounding?",Your personal opinion on Mental Health.
Female,21,Science,Graduation,Unmarried,Mumbai Suburban,Student,10 and above,Yes,"Emotional, Physical, Social, Major life event",A lot,Moderately,Moderately,A lot,Never,Extremely,Agree,Agree,Agree,Agree,Around 5-6 hours,Yes,"Forced separation from family members, Death of family member or friend, An accident or long term injury","Depression, Anxiety disorders","Visited Psychologists/ consultant/ therapist, Prescribed medication by Psychiatrist, Meditation, Yoga, Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,Yes,
Female,33,Commerce,Post Graduation,Married,Pune,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,21,Science,Graduation,Unmarried,Himachal Pradesh,Student,Below 1 lakh,Yes,Emotional,A little,A little,A lot,Never,Never,A little,Neutral,Disagree,Neutral,Disagree,4-5 hours ,No,Love relationship,"Anxiety disorders, Eating disorders","Talk about your feelings, Take a break from daily routine",Yes,No,Nothing
Female,20,Arts,Graduation,Unmarried,Dombivali,Student,3-5 lakhs,Yes,Emotional,Moderately,A little,Never,A little,Never,Never,Neutral,Neutral,Strongly disagree,Strongly disagree,2 hour's,No,None of the above,"Depression, Anxiety disorders","Meditation, Yoga, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,Think positive always
Female,20,Science,Graduation,Unmarried,Kolkata ,Student,Below 1 lakh,Yes,"Emotional, Physical, Social, Major life event",Moderately,A lot,A lot,Extremely,A little,A lot,Strongly agree,Agree,Agree,Neutral,2-4 hrs,Yes,Death of family member or friend,"Depression, Anxiety disorders, Eating disorders","Visited Psychologists/ consultant/ therapist, Prescribed medication by Psychiatrist, Talk about your feelings, Take a break from daily routine",Yes,No,It is a major issue which needs immediate attention.
Female,40,Commerce,Graduation,Married,Thane,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,Kedar,Science,Post Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,Emotional,A little,A little,Moderately,A little,Moderately,A little,Agree,Agree,Agree,Neutral,2 hours,Yes,None of the above,"Depression, Anxiety disorders",Visited Psychologists/ consultant/ therapist,Yes,Yes,Real
Male,20,Science,Graduation,Unmarried,Navi Mumbai,Student,Below 1 lakh,Yes,Emotional,Never,Never,Moderately,Extremely,Never,Never,Strongly agree,Neutral,Strongly disagree,Strongly disagree,1 hr daily,No,Death of family member or friend,Anxiety disorders,Prescribed medication by Psychiatrist,Yes,Yes,
Female,22,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,"Social, Major life event",A little,A lot,A little,Moderately,Moderately,A lot,Strongly agree,Strongly agree,Agree,Strongly agree,2 hrs on an average,No,Death of family member or friend,"Anxiety disorders, Eating disorders","Tried going out for nature campaigns, Take a break from daily routine, Sleep and eat",Yes,No,Needs to be paid more attention and should encourage people facing mental health problems to seek professional help
Female,19,Science,HSC (12th std),Unmarried,Hubli,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,3-5 lakhs,Yes,"Social, Career decisions",A lot,A lot,Extremely,Never,Never,Never,Strongly agree,Disagree,Neutral,Disagree,Not much,No,None of the above,Depression,"Talk about your feelings, Take a break from daily routine",Maybe,No,It's important
Female,20,Commerce,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Physical, Social, Major life event, Substance use (any kind of addiction)",Moderately,Moderately,A little,Never,Never,Moderately,Neutral,Disagree,Strongly disagree,Neutral,Most of time,Yes,None of the above,"Depression, Anxiety disorders","Visited Psychologists/ consultant/ therapist, Yoga, Talk about your feelings, Take a break from daily routine",Yes,Yes,N
Female,16,Arts,Below SSC,Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,21,Science,Graduation,Unmarried,Thane,Student,10 and above,Yes,Emotional,A little,Never,A lot,Never,Never,Never,Agree,Neutral,Disagree,Disagree,2 hours daily,Yes,None of the above,Depression,"Meditation, Talk about your feelings, Take a break from daily routine",Yes,Yes,
Female,26,Science,Graduation,Unmarried,Pune,Employed,3-5 lakhs,Yes,Emotional,Moderately,Moderately,Moderately,A little,Moderately,Moderately,Agree,Neutral,Disagree,Disagree,2 hours,No,Forced separation from family members,"Depression, Anxiety disorders, Bipolar disorders","Visited Psychologists/ consultant/ therapist, Prescribed medication by Psychiatrist, Talk about your feelings",Yes,No,
Female,20,Science,HSC (12th std),Unmarried,Mumbai city,Student,Below 1 lakh,Yes,"Emotional, Physical, Major life event",A little,A little,Extremely,Moderately,Moderately,Never,Agree,Neutral,Disagree,Agree,1 - 1 and a half hours,No,None of the above,Anxiety disorders,"Meditation, Yoga, Journaling",Yes,No,It is a very less spoken issue. And mental breakdown should be treated normal 
Male,17,Science,Below SSC,Unmarried,Navi Mumbai,Student,Below 1 lakh,Yes,"Emotional, Physical, Social, Major life event, Substance use (any kind of addiction)",Moderately,Moderately,A little,A little,Never,Moderately,Neutral,Neutral,Strongly agree,Agree,7hr,No,None of the above,Depression,Talk about your feelings,Maybe,No,I don't know
Female,48,Arts,Graduation,Married,Thane,Unemployed,3-5 lakhs,Yes,"Emotional, Physical, Major life event",A little,A little,Moderately,Extremely,Moderately,Moderately,Strongly agree,Agree,Neutral,Agree,4-6 hours,No,"Death of family member or friend, Financial worries","Depression, Anxiety disorders, Bipolar disorders","Meditation, Yoga",No,No,
Female,21,Science,Post Graduation,Unmarried,Noida,Student,5-8 lakhs,Yes,"Emotional, Social, Major life event",A little,A lot,Extremely,Never,Never,Never,Strongly agree,Strongly agree,Neutral,Agree,3,No,"Death of family member or friend, Financial worries","Depression, Anxiety disorders, Eating disorders",Talk about your feelings,Maybe,No,One person is enough to get out of mental health.  The person you trust and share your feelings. 
Female,20,Science,Graduation,Unmarried,Navi Mumbai,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,HSC (12th std),Unmarried,Thane,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Commerce,HSC (12th std),Unmarried,Mumbai city,Student,Below 1 lakh,Yes,"Emotional, Physical, Social",A little,Never,A lot,A little,Never,Never,Agree,Agree,Neutral,Disagree,2 hours,No,Personal,Worry,Take a break from daily routine,Yes,Yes,
Female,20,Science,Graduation,Unmarried,Thane,Student,5-8 lakhs,Yes,Emotional,Moderately,A little,A lot,Moderately,A little,A little,Agree,Agree,Disagree,Neutral,1/4th of the day,No,None of the above,Eating disorders,Talk about your feelings,Maybe,No,
Female,23,Commerce,Graduation,Unmarried,Thane,Unemployed,Below 1 lakh,Yes,Emotional,A little,A little,A little,Never,A little,Never,Disagree,Disagree,Disagree,Disagree,10-12 hrs,Yes,None of the above,Depression,Yoga,Yes,No,
Male,16,None,Below SSC,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Arts,Graduation,Unmarried,Dombivli ,Student,Below 1 lakh,Yes,Emotional,A lot,A lot,A lot,A lot,A lot,A little,Neutral,Agree,Strongly agree,Disagree,Half day because of my college assignments ,Yes,Family issues ,"Depression, Anxiety disorders","Meditation, Yoga, Talk about your feelings, Take a break from daily routine",Maybe,No,It is so so important 
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Physical, Social",A little,A little,Extremely,Moderately,Moderately,A little,Strongly agree,Disagree,Strongly agree,Neutral,5 h,No,None of the above,Anxiety disorders,"Meditation, Talk about your feelings, Take a break from daily routine",Yes,No,
Female,20,Science,Graduation,Unmarried,Mumbai Suburban,Student,Below 1 lakh,Yes,"Emotional, Social",A little,Moderately,Extremely,A little,A little,A little,Agree,Disagree,Strongly disagree,Neutral,4 hrs,No,None of the above,"Depression, Anxiety disorders","Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,Yes,
Male,28,Enginnering,Post Graduation,Unmarried,Thane,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,22,Science,Graduation,Unmarried,Lucknow,Student,10 and above,Yes,Major life event,A little,Never,A little,Moderately,Moderately,A little,Strongly agree,Neutral,Strongly agree,Strongly agree,2-3 hours a day,No,"Death of family member or friend, An accident or long term injury","Depression, Anxiety disorders, Eating disorders","Visited Psychologists/ consultant/ therapist, Meditation, Take a break from daily routine",Yes,Yes,It should always be taken seriously. Never ignore the symptoms or try to suppress them. 
Female,22,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,Never,A little,A lot,Never,Never,Never,Neutral,Agree,Neutral,Strongly disagree,5 hours ,No,None of the above,Anxiety disorders,"Talk about your feelings, Take a break from daily routine",Maybe,Yes,
Female,22,Commerce,Graduation,Unmarried,Mumbai Suburban,Student,1-3 lakhs,Yes,"Emotional, Social",Never,A little,A lot,Moderately,A little,A lot,Neutral,Disagree,Strongly disagree,Strongly disagree,7-8 hours,Yes,None of the above,Panic attacks,"Meditation, Yoga, Talk about your feelings, Tried going out for nature campaigns",Yes,Yes,
Male,19,None,Graduation,Divorced,Mumbai city,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,21,Arts,Post Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,Emotional,Moderately,Moderately,A lot,A little,Never,Never,Agree,Agree,Agree,Agree,2 hours,No,An accident or long term injury,Anxiety disorders,"Meditation, Talk about your feelings, Take a break from daily routine",Maybe,No,Mental health should be really taken care of since it's a major part which helps you describe your personality. 
Female,20,Commerce,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Major life event,A little,A little,Moderately,Never,Never,A little,Neutral,Disagree,Agree,Agree,On an average 4hrs,No,Financial worries,Depression,"Meditation, Yoga, Take a break from daily routine",Yes,Yes,"I think mental health is the most fragile and crucial part of living. In this age of increasing mental diseases like depression, anxiety, insomnia etc. our first priority should be to improve our mental health. We need mental health awareness now more than ever because in a situation of global crisis which has now become a part of our lifestyle, it is going to make us all much more vulnerable and susceptible to stressors."
Male,51,LLB,Post Graduation,Married,Dharwad ,Employed,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,15,None,Below SSC,Unmarried,Thane,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,3-5 lakhs,Yes,Emotional,A little,A little,Moderately,A little,Never,A little,Agree,Disagree,Disagree,Disagree,2-3 hrs daily,No,Relations with people,Depression,"Visited Psychologists/ consultant/ therapist, Prescribed medication by Psychiatrist, Meditation, Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,Yes,Mental Health is the important pillar of one's well being and we should always give priority to our own mind. Choosing yourself and your peace over anything is the prime key to a good mental health. Focus on your happiness and choose to be independent.
Female,20,Science,Graduation,Unmarried,Thane,Student,10 and above,Yes,Emotional,A little,Moderately,A lot,Never,A little,Never,Agree,Neutral,Strongly disagree,Strongly disagree,3 to 4 hrs,No,Death of family member or friend,"Depression, Anxiety disorders","Yoga, Talk about your feelings, Tried going out for nature campaigns",Yes,No,Nothing
Male,21,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,"Emotional, Social",Moderately,A lot,A little,Moderately,Extremely,Extremely,Agree,Strongly agree,Agree,Neutral,2-3 hrs a day,No,None of the above,"Depression, Anxiety disorders, Bipolar disorders","Visited Psychologists/ consultant/ therapist, Prescribed medication by Psychiatrist",No,Yes,"Majority of people do not understand it, and will never understand it unless they experience it themselves. Also, some people pretend they have mental illness, to seek attention, but such people damage the image of people who actually suffer."
Male,13,None,Below SSC,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,60,Science,Below SSC,Married,Thane,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Navi Mumbai,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,16,Science,Below SSC,Unmarried,Thane,Student,1-3 lakhs,Yes,Emotional,A little,A little,A lot,A little,Never,Moderately,Neutral,Strongly disagree,Neutral,Strongly disagree,More than 3hrs maybe,No,Being bullied and mentally tortured sometimes,Depression,Talk about your feelings,Yes,No,"We get better in time if we're surrounded by the right people, right people in the sense who cares to listen and try to put them in the person's shoes whose going thru stuff, instead of giving advices and suggestions"
Female,21,Commerce,Graduation,Unmarried,Dombivali ,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,HSC (12th std),Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,HSC (12th std),Unmarried,Thane,Student,3-5 lakhs,Yes,"Emotional, Social, Major life event",A little,A little,A lot,A little,A little,A little,Neutral,Neutral,Neutral,Neutral,2 3 hrs,Yes,"Forced separation from family members, Financial worries","Depression, Anxiety disorders","Meditation, Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,
Female,21,Science,Graduation,Unmarried,Kalyan,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Arts,Graduation,Unmarried,Dombivli,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,21,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,A lot,Moderately,Moderately,Moderately,Never,Moderately,Strongly agree,Agree,Neutral,Neutral,More than 5 hours,No,Financial worries,"Depression, Anxiety disorders","Talk about your feelings, Take a break from daily routine",Maybe,No,
Male,20,Commerce,Post Graduation,Unmarried,Mumbai city,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,36,Commerce,Diploma,Married,Thane,Employed,Below 1 lakh,Yes,Emotional,Never,Never,A little,A little,Never,Never,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,More than 2hr ,No,None of the above,Anxiety disorders,Take a break from daily routine,Yes,No,Should take a break from work 
Female,39,None,HSC (12th std),Married,Thane,Employed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,21,Commerce,Post Graduation,Unmarried,Mumbai city,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,24,Science,Post Graduation,Unmarried,Mumbai Suburban,Student,3-5 lakhs,Yes,Emotional,Moderately,A little,Extremely,Moderately,Never,Never,Neutral,Agree,Disagree,Neutral,2 hours,No,Financial worries,Depression,"Meditation, Talk about your feelings, Take a break from daily routine",Yes,No,
Female,21,Commerce,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,HSC (12th std),Unmarried,Mumbai city,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,45,None,Below SSC,Married,Thane,Unemployed,Below 1 lakh,Yes,Emotional,A little,A little,A lot,Never,Extremely,A little,Strongly agree,Neutral,Strongly disagree,Agree,2 hours,No,Financial worries,"Depression, Anxiety disorders",Talk about your feelings,Yes,No,
Male,24,Science,Post Graduation,Unmarried,Mumbai Suburban,Employed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,16,Commerce,HSC (12th std),Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Ahmedabad ,Student,1-3 lakhs,Yes,Emotional,Extremely,A lot,Moderately,Extremely,Never,Extremely,Strongly agree,Agree,Disagree,Strongly agree,3-4 hours,Yes,Breakup ,"Depression, Anxiety disorders",Talk about your feelings,No,No,It is what effects everything in our lives 
Female,20 years old,Commerce,Graduation,Unmarried,Mumbai city,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Karnataka vijayapur ,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,Graduation,Unmarried,Thane,Student,1-3 lakhs,Yes,Emotional,A lot,Moderately,Moderately,Moderately,Moderately,A little,Disagree,Disagree,Neutral,Neutral,1-2 hrs,No,Financial worries,Depression,"Meditation, Yoga, Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Maybe,Yes,
Female,20,Commerce,Graduation,Unmarried,Mumbai city,Student,1-3 lakhs,Yes,Emotional,A little,A little,Moderately,Never,A little,Never,Neutral,Disagree,Neutral,Disagree,Most of the time ,No,None of the above,Nothing ,"Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,It plays a major role for the daily tasks 
Female,46,Science,Graduation,Married,Hubli,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,21,Science,HSC (12th std),Unmarried,Kerala,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,15,Science,HSC (12th std),Unmarried,Mumbai Suburban,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,Never,A little,A little,Moderately,A little,A little,Disagree,Disagree,Neutral,Neutral,5,No,Financial worries,"Depression, Anxiety disorders",Talk about your feelings,Maybe,No,
Female,35,Arts,Diploma,Married,Mumbai city,Unemployed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,A little,A little,Extremely,A little,Moderately,Never,Strongly agree,Agree,Strongly disagree,Strongly disagree,2 hours,No,Death of family member or friend,Depression,Talk about your feelings,Maybe,No,
Male,18,Commerce,HSC (12th std),Unmarried,Mumbai city,Student,1-3 lakhs,Yes,Emotional,A little,A little,A lot,Never,Moderately,Never,Agree,Neutral,Neutral,Disagree,Three hours ,No,None of the above,Depression,Take a break from daily routine,Yes,Yes,There must be atleast one counceller in every college. 
Male,19,Commerce,Diploma,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai Suburban,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Arts,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,A little,Never,A lot,Never,Never,Moderately,Neutral,Neutral,Disagree,Agree,4-5 hours a day,No,None of the above,Anxiety disorders,"Meditation, Yoga, Talk about your feelings",Yes,No,
Female,26,Science,Graduation,Married,Pune,Unemployed,Below 1 lakh,Yes,Emotional,Moderately,A little,A little,A little,A little,A little,Neutral,Neutral,Disagree,Disagree,2-3 hr,Yes,None of the above,Depression,"Meditation, Take a break from daily routine",Maybe,No,
Female,31,Commerce,Graduation,Married,Thane,Employed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,25,Arts,Post Graduation,Unmarried,Thane,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,32,Arts,Graduation,Married,Thane,Student,1-3 lakhs,Yes,Emotional,A little,A little,Moderately,Never,Never,Never,Strongly disagree,Strongly disagree,Neutral,Disagree,1 or 2 hour ,No,None of the above,Anxiety disorders,Yoga,Maybe,No,Don't take a tension ????
Female,21,Commerce,Graduation,Unmarried,Thane,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,22,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,Never,A little,A lot,Never,Never,Never,Neutral,Agree,Neutral,Strongly disagree,5 hours ,No,None of the above,Anxiety disorders,"Talk about your feelings, Take a break from daily routine",Maybe,Yes,
Female,43,Commerce,Graduation,Married,Bagalkot,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,33,Science,Post Graduation,Married,Mumbai city,Employed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,31,Science,Post Graduation,Married,Thane,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Dombivli,Employed,1-3 lakhs,Yes,"Emotional, Physical",A little,A little,Never,A little,A little,Never,Agree,Agree,Strongly agree,Strongly disagree,3 to 4 hours ,No,None of the above,Depression,"Meditation, Talk about your feelings, Take a break from daily routine",Maybe,No,
Female,64,Arts,Post Graduation,Married,Pune,Retired,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,67,Arts,PHD,Married,Pune,Retired,10 and above,No,,,,,,,,,,,,,,,,,,,
Male,36,Science,Post Graduation,Married,Pune,Employed,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,21,Arts,Graduation,Unmarried,Thane,Student,8-10 lakhs,Yes,Emotional,Never,Moderately,A little,Never,Never,A little,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,5-6 hours,No,None of the above,Anxiety disorders,Talk about your feelings,Maybe,No,As important as physical health
Female,19,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,"Emotional, Social",Moderately,A little,Moderately,Moderately,A little,Moderately,Agree,Agree,Neutral,Neutral,1 - 2 hr ,No,None of the above,Anxiety disorders,"Meditation, Yoga",Maybe,Yes,
Female,25,Commerce,Graduation,Married,Thane,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,14,None,Below SSC,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,47,Arts,Graduation,Married,Thane,Employed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Arts,Graduation,Unmarried,Dombivali,Student,3-5 lakhs,Yes,Emotional,A little,A little,Moderately,Never,Never,Never,Neutral,Disagree,Strongly disagree,Strongly disagree,2 hour's,No,Financial worries,Anxiety disorders,"Meditation, Yoga, Talk about your feelings, Take a break from daily routine",Yes,No,Think positive
Male,20,Science,HSC (12th std),Unmarried,Karnataka vijayapur ,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
